,0
235," Denmark (DNK / 235)
center: [ 9.35599632 56.24045732]"
236," Bornholm (-99 / 236)
center: [14.90195775 55.13680861]"
237," Czech Republic (CZE / 237)
center: [15.31240163 49.73341233]"
238," Turkish Republic of Northern Cyprus (-99 / 238)
center: [33.5684813  35.26277486]"
239," Cyprus (CYP / 239)
center: [33.0060022  34.91667211]"
240," Cuba (CUB / 240)
center: [-78.94339746  21.61424023]"
241," Croatia (HRV / 241)
center: [16.42389696 45.15944805]"
242," Ivory Coast (CIV / 242)
center: [-5.56970883  7.6289407 ]"
243," Costa Rica (CRI / 243)
center: [-84.19208768   9.97634464]"
244," Democratic Republic of the Congo (COD / 244)
center: [23.64396107 -2.87746289]"
245," Republic of the Congo (COG / 245)
center: [15.21965762 -0.83787463]"
246," Comoros (COM / 246)
center: [ 43.33914435 -11.65437816]"
247," Colombia (COL / 247)
center: [-73.08070655   3.91394921]"
248," People's Republic of China (-99 / 248)
center: [103.79740634  36.61687112]"
249," Hainan (-99 / 249)
center: [109.74164105  19.20008917]"
250," Macau (MAC / 250)
center: [113.50932116  22.22311688]"
251," Hong Kong (HKG / 251)
center: [114.13918765  22.43917627]"
252," Easter Island (-99 / 252)
center: [-109.34991008  -27.11921004]"
253," Isla Salas y Gómez (-99 / 253)
center: [-78.87651636 -33.62488874]"
254," Chile (CHL / 254)
center: [-71.31112819 -35.74807517]"
255," Chad (TCD / 255)
center: [18.64492513 15.33333758]"
256," Central African Republic (CAF / 256)
center: [20.46826831  6.56823297]"
257," Cape Verde (CPV / 257)
center: [-23.6371491   15.08240468]"
258," Canada (CAN / 258)
center: [-102.36576644   57.93467961]"
259," Cameroon (CMR / 259)
center: [12.73964156  5.69109849]"
260," Cambodia (KHM / 260)
center: [104.90793942  12.7209729 ]"
261," Myanmar (MMR / 261)
center: [96.48864617 21.221488  ]"
262," Burundi (BDI / 262)
center: [29.87512156 -3.35939666]"
263," Burkina Faso (BFA / 263)
center: [-1.75456601 12.26953846]"
264," Bulgaria (BGR / 264)
center: [25.21552909 42.76890318]"
265," Brunei (BRN / 265)
center: [114.59195822   4.49048994]"
266," Brazil (BRA / 266)
center: [-53.11693615 -10.84047608]"
267," Botswana (BWA / 267)
center: [ 23.79853368 -22.18403213]"
268," Republika Srpska (-99 / 268)
center: [18.04200398 44.252015  ]"
269," Federation of Bosnia and Herzegovina (-99 / 269)
center: [17.50361623 44.08915536]"
270," Bolivia (BOL / 270)
center: [-64.68538645 -16.70814787]"
271," Bhutan (BTN / 271)
center: [90.40188155 27.41106589]"
272," Benin (BEN / 272)
center: [2.32785254 9.6417597 ]"
273," Belize (BLZ / 273)
center: [-88.71846155  17.19473112]"
274," Flemish Brabant (-99 / 274)
center: [ 4.21237053 51.03773231]"
275," Walloon Brabant (-99 / 275)
center: [ 4.99254132 50.31436823]"
276," Brussels Capital Region (-99 / 276)
center: [ 4.33791304 50.83301698]"
277," Belarus (BLR / 277)
center: [28.03209307 53.53131377]"
278," Barbados (BRB / 278)
center: [-59.559797    13.18145428]"
279," Bangladesh (BGD / 279)
center: [90.22405508 23.89751969]"
280," Bahrain (BHR / 280)
center: [50.54196932 26.04205135]"
281," The Bahamas (BHS / 281)
center: [-78.03780359  24.7013991 ]"
282," Azerbaijan (AZE / 282)
center: [47.66493967 40.34399711]"
283," Austria (AUT / 283)
center: [14.1264761  47.58549439]"
284," Australia (AUS / 284)
center: [134.35514544 -25.57318043]"
285," Tasmania (-99 / 285)
center: [146.59541363 -42.01710441]"
286," Macquarie Island (-99 / 286)
center: [158.89752712 -54.60220914]"
287," Christmas Island (CXR / 287)
center: [105.66238708 -10.49269337]"
288," Cocos (CCK / 288)
center: [ 96.84244247 -12.1678885 ]"
289," Heard Island and McDonald Islands (HMD / 289)
center: [ 73.5205171  -53.08724656]"
290," Norfolk Island (NFK / 290)
center: [167.94921678 -29.0514609 ]"
291," Ashmore and Cartier Islands (-99 / 291)
center: [123.58383789 -12.42993164]"
292," Armenia (ARM / 292)
center: [44.92914119 40.28906214]"
293," Argentina (ARG / 293)
center: [-65.15610281 -35.17996177]"
294," Antigua (-99 / 294)
center: [-61.78996503  17.07777802]"
295," Barbuda (-99 / 295)
center: [-61.80316791  17.63545076]"
296," Angola (AGO / 296)
center: [ 17.56443992 -12.33194931]"
297," Andorra (AND / 297)
center: [ 1.56054378 42.54229102]"
298," Algeria (DZA / 298)
center: [ 2.61732301 28.15893849]"
299," Albania (ALB / 299)
center: [20.04983396 41.14244989]"
300," Afghanistan (AFG / 300)
center: [66.00473366 33.83523073]"
301," Siachen Glacier (-99 / 301)
center: [77.18011865 35.39236325]"
302," South Orkney Islands (-99 / 302)
center: [-45.58046065 -60.602043  ]"
303," Peter I Island (-99 / 303)
center: [-90.58282906 -68.7588765 ]"
304," Antarctica (-99 / 304)
center: [ 20.80425935 -80.56015146]"
305," Sint Maarten (SXM / 305)
center: [-63.05713363  18.05081728]"
306," Autonomous Republic of Crimea (-99 / 306)
center: [34.34758287 45.3101718 ]"
307," Tuvalu (TUV / 307)
center: [179.20556525  -8.50345126]"
